listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Apartment in Downtown Charlottetown,Lovely one-bedroom in historic Charlottetown.,1 queen bed,www.airbnb.ca/rooms/648523555200106575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-27&check_out=2023-10-02&source_impression_id=p3_1692673881_pzeYz61yaTjeNdch&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,243,"1,214",2023-09-27 - 2023-10-02,4.93,54.0,2023-09-27,2023-10-02,0,0,0,0,0
Guest suite in Downtown Charlottetown,The Gladys (4.5 Star) - Second Floor Suite,2 beds,www.airbnb.ca/rooms/42623534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-11&source_impression_id=p3_1692673881_cyAna8SzdYdNvEMY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,205,"1,231",2023-10-05 - 2023-10-11,4.98,112.0,2023-10-05,2023-10-11,0,0,0,0,0
Condo in Downtown Charlottetown,Modern Downtown Condo,2 beds,www.airbnb.ca/rooms/49547637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692673881_%2Fol7n9ErAfNeGD4l&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,213,"1,065",2023-10-09 - 2023-10-14,4.96,49.0,2023-10-09,2023-10-14,0,0,0,0,0
Home in Downtown Charlottetown,"Edward House: Downtown, Sleep 4, Parking, Laundry",2 beds,www.airbnb.ca/rooms/41635574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_W32pstkzUegBuEtI&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,344,"1,719",2023-09-01 - 2023-09-6,4.95,19.0,2023-09-01,2023-09-06,0,0,0,0,0
Houseboat in Downtown Charlottetown,Dream Weaver,2 beds,www.airbnb.ca/rooms/32207873?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-10&source_impression_id=p3_1692673881_V1F3szjHr5z%2Fbe1g&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,446,"3,121",2023-09-03 - 2023-09-10,4.84,116.0,2023-09-03,2023-09-10,0,0,0,0,0
Condo in Downtown Charlottetown,Beautiful Waterfront Loft 2 Bdrm Downtown,2 queen beds,www.airbnb.ca/rooms/43513098?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_JCBdDVlqUpIcOElu&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,393,393,2023-09-24 - 2023-09-29,4.91,117.0,2023-09-24,2023-09-29,0,0,0,0,0
Condo in Downtown Charlottetown,Downtown Luxury Award Winning Private Condo,3 beds,www.airbnb.ca/rooms/3712087?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_T6Gj22crhWF3JShG&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,398,"1,991",2023-09-24 - 2023-09-29,4.97,99.0,2023-09-24,2023-09-29,0,0,0,0,0
Home in Charlottetown,Bright & Charming 2BR Downtown Home,2 beds,www.airbnb.ca/rooms/949828353733953912?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692673881_DYid0k5qalki15f3&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,239,"1,434",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28,0,0,0,0,0
Apartment in Downtown Charlottetown,The Hildore 1A - 2 Bdrm Luxury Designer Downtown,2 queen beds,www.airbnb.ca/rooms/46045995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_uEDhxsTcVauSDPKB&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,412,"2,059",2023-09-01 - 2023-09-6,4.96,78.0,2023-09-01,2023-09-06,0,0,0,0,0
Condo in Downtown Charlottetown,Waterfront  1 Bedroom Cozy Condo Downtown Ch'town,1 queen bed,www.airbnb.ca/rooms/39481632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692673881_bVnXhCTJWHe1lmaY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,368,368,2023-09-02 - 2023-09-7,4.94,94.0,2023-09-02,2023-09-07,0,0,0,0,0
Room in Downtown Charlottetown,Queen Bed/Brighton/walk downtown/Maple Leaf House,Stay with Susane,www.airbnb.ca/rooms/44100458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1032806663&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692673881_f0Xku7scJcKuYNVv&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,131,919,2023-09-01 - 2023-09-8,4.91,57.0,2023-09-01,2023-09-08,0,0,0,0,0
Condo in Downtown Charlottetown,Historic two bedroom condo downtown Charlottetown,2 beds,www.airbnb.ca/rooms/49563406?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692673881_A8QQRCK%2BvwYdHTMQ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,365,"1,826",2023-10-13 - 2023-10-18,4.95,99.0,2023-10-13,2023-10-18,0,0,0,0,0
Apartment in Downtown Charlottetown,Downtown one-bedroom apartment with parking,1 queen bed,www.airbnb.ca/rooms/689828784249257971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-07&source_impression_id=p3_1692673881_jqXFtc9v81g7HuCV&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,186,"1,118",2023-10-01 - 2023-10-7,4.94,47.0,2023-10-01,2023-10-07,0,0,0,0,0
Home in Downtown Charlottetown,Modern d’town 2 bed home w parking & rooftop patio,2 beds,www.airbnb.ca/rooms/692772961385851552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-17&check_out=2023-10-22&source_impression_id=p3_1692673881_k60AvSLXByAWyhie&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,309,309,2023-10-17 - 2023-10-22,5.0,17.0,2023-10-17,2023-10-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Edward House Loft: 1 bed + downtown + Parking,1 queen bed,www.airbnb.ca/rooms/42934668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692673881_BoQOuvrVcH7TPjzJ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,191,"1,146",2023-09-14 - 2023-09-20,4.98,40.0,2023-09-14,2023-09-20,0,0,0,0,0
Townhouse in Downtown Charlottetown,2bd 1bt Downtown Steps to Holland College,2 queen beds,www.airbnb.ca/rooms/49813086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_vpu1dUBfu2k2iHK%2F&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,433,433,2023-09-01 - 2023-09-6,4.84,61.0,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Downtown Charlottetown,Downtown Modern One Bedroom In Law Suite,1 queen bed,www.airbnb.ca/rooms/24890168?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-08&source_impression_id=p3_1692673881_Ef8sAlktp7JWIDVw&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,167,"1,170",2023-11-01 - 2023-11-8,4.97,208.0,2023-11-01,2023-11-08,0,0,0,0,0
Home in Downtown Charlottetown,Wharfside - Waterfront + Downtown + Victoria Park,1 king bed,www.airbnb.ca/rooms/51121355?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692673881_uW180zgfTLufwx5I&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,504,504,2023-09-17 - 2023-09-22,4.83,84.0,2023-09-17,2023-09-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Lovely one-bedroom in historic Charlottetown.,1 queen bed,www.airbnb.ca/rooms/648523555200106575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-27&check_out=2023-10-02&source_impression_id=p3_1692673881_pzeYz61yaTjeNdch&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,243,"1,214",2023-09-27 - 2023-10-02,4.93,54.0,2023-09-27,2023-10-02,0,0,0,0,0
Guest suite in Downtown Charlottetown,The Gladys (4.5 Star) - Second Floor Suite,2 beds,www.airbnb.ca/rooms/42623534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-11&source_impression_id=p3_1692673881_cyAna8SzdYdNvEMY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,205,"1,231",2023-10-05 - 2023-10-11,4.98,112.0,2023-10-05,2023-10-11,0,0,0,0,0
Condo in Downtown Charlottetown,Modern Downtown Condo,2 beds,www.airbnb.ca/rooms/49547637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692673881_%2Fol7n9ErAfNeGD4l&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,213,"1,065",2023-10-09 - 2023-10-14,4.96,49.0,2023-10-09,2023-10-14,0,0,0,0,0
Home in Downtown Charlottetown,"Edward House: Downtown, Sleep 4, Parking, Laundry",2 beds,www.airbnb.ca/rooms/41635574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_W32pstkzUegBuEtI&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,344,"1,719",2023-09-01 - 2023-09-6,4.95,19.0,2023-09-01,2023-09-06,0,0,0,0,0
Houseboat in Downtown Charlottetown,Dream Weaver,2 beds,www.airbnb.ca/rooms/32207873?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-10&source_impression_id=p3_1692673881_V1F3szjHr5z%2Fbe1g&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,446,"3,121",2023-09-03 - 2023-09-10,4.84,116.0,2023-09-03,2023-09-10,0,0,0,0,0
Condo in Downtown Charlottetown,Beautiful Waterfront Loft 2 Bdrm Downtown,2 queen beds,www.airbnb.ca/rooms/43513098?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_JCBdDVlqUpIcOElu&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,393,393,2023-09-24 - 2023-09-29,4.91,117.0,2023-09-24,2023-09-29,0,0,0,0,0
Condo in Downtown Charlottetown,Downtown Luxury Award Winning Private Condo,3 beds,www.airbnb.ca/rooms/3712087?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_T6Gj22crhWF3JShG&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,398,"1,991",2023-09-24 - 2023-09-29,4.97,99.0,2023-09-24,2023-09-29,0,0,0,0,0
Home in Charlottetown,Bright & Charming 2BR Downtown Home,2 beds,www.airbnb.ca/rooms/949828353733953912?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692673881_DYid0k5qalki15f3&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,239,"1,434",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28,0,0,0,0,0
Apartment in Downtown Charlottetown,The Hildore 1A - 2 Bdrm Luxury Designer Downtown,2 queen beds,www.airbnb.ca/rooms/46045995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_uEDhxsTcVauSDPKB&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,412,"2,059",2023-09-01 - 2023-09-6,4.96,78.0,2023-09-01,2023-09-06,0,0,0,0,0
Condo in Downtown Charlottetown,Waterfront  1 Bedroom Cozy Condo Downtown Ch'town,1 queen bed,www.airbnb.ca/rooms/39481632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692673881_bVnXhCTJWHe1lmaY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,368,368,2023-09-02 - 2023-09-7,4.94,94.0,2023-09-02,2023-09-07,0,0,0,0,0
Room in Downtown Charlottetown,Queen Bed/Brighton/walk downtown/Maple Leaf House,Stay with Susane,www.airbnb.ca/rooms/44100458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1032806663&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692673881_f0Xku7scJcKuYNVv&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,131,919,2023-09-01 - 2023-09-8,4.91,57.0,2023-09-01,2023-09-08,0,0,0,0,0
Condo in Downtown Charlottetown,Historic two bedroom condo downtown Charlottetown,2 beds,www.airbnb.ca/rooms/49563406?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692673881_A8QQRCK%2BvwYdHTMQ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,365,"1,826",2023-10-13 - 2023-10-18,4.95,99.0,2023-10-13,2023-10-18,0,0,0,0,0
Apartment in Downtown Charlottetown,Downtown one-bedroom apartment with parking,1 queen bed,www.airbnb.ca/rooms/689828784249257971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-07&source_impression_id=p3_1692673881_jqXFtc9v81g7HuCV&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,186,"1,118",2023-10-01 - 2023-10-7,4.94,47.0,2023-10-01,2023-10-07,0,0,0,0,0
Home in Downtown Charlottetown,Modern d’town 2 bed home w parking & rooftop patio,2 beds,www.airbnb.ca/rooms/692772961385851552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-17&check_out=2023-10-22&source_impression_id=p3_1692673881_k60AvSLXByAWyhie&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,309,309,2023-10-17 - 2023-10-22,5.0,17.0,2023-10-17,2023-10-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Edward House Loft: 1 bed + downtown + Parking,1 queen bed,www.airbnb.ca/rooms/42934668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692673881_BoQOuvrVcH7TPjzJ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,191,"1,146",2023-09-14 - 2023-09-20,4.98,40.0,2023-09-14,2023-09-20,0,0,0,0,0
Townhouse in Downtown Charlottetown,2bd 1bt Downtown Steps to Holland College,2 queen beds,www.airbnb.ca/rooms/49813086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_vpu1dUBfu2k2iHK%2F&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,433,433,2023-09-01 - 2023-09-6,4.84,61.0,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Downtown Charlottetown,Downtown Modern One Bedroom In Law Suite,1 queen bed,www.airbnb.ca/rooms/24890168?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-08&source_impression_id=p3_1692673881_Ef8sAlktp7JWIDVw&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,167,"1,170",2023-11-01 - 2023-11-8,4.97,208.0,2023-11-01,2023-11-08,0,0,0,0,0
Home in Downtown Charlottetown,Wharfside - Waterfront + Downtown + Victoria Park,1 king bed,www.airbnb.ca/rooms/51121355?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692673881_uW180zgfTLufwx5I&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,504,504,2023-09-17 - 2023-09-22,4.83,84.0,2023-09-17,2023-09-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Lovely one-bedroom in historic Charlottetown.,1 queen bed,www.airbnb.ca/rooms/648523555200106575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-27&check_out=2023-10-02&source_impression_id=p3_1692673881_pzeYz61yaTjeNdch&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,243,"1,214",2023-09-27 - 2023-10-02,4.93,54.0,2023-09-27,2023-10-02,0,0,0,0,0
Guest suite in Downtown Charlottetown,The Gladys (4.5 Star) - Second Floor Suite,2 beds,www.airbnb.ca/rooms/42623534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-11&source_impression_id=p3_1692673881_cyAna8SzdYdNvEMY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,205,"1,231",2023-10-05 - 2023-10-11,4.98,112.0,2023-10-05,2023-10-11,0,0,0,0,0
Condo in Downtown Charlottetown,Modern Downtown Condo,2 beds,www.airbnb.ca/rooms/49547637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692673881_%2Fol7n9ErAfNeGD4l&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,213,"1,065",2023-10-09 - 2023-10-14,4.96,49.0,2023-10-09,2023-10-14,0,0,0,0,0
Home in Downtown Charlottetown,"Edward House: Downtown, Sleep 4, Parking, Laundry",2 beds,www.airbnb.ca/rooms/41635574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_W32pstkzUegBuEtI&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,344,"1,719",2023-09-01 - 2023-09-6,4.95,19.0,2023-09-01,2023-09-06,0,0,0,0,0
Houseboat in Downtown Charlottetown,Dream Weaver,2 beds,www.airbnb.ca/rooms/32207873?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-10&source_impression_id=p3_1692673881_V1F3szjHr5z%2Fbe1g&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,446,"3,121",2023-09-03 - 2023-09-10,4.84,116.0,2023-09-03,2023-09-10,0,0,0,0,0
Condo in Downtown Charlottetown,Beautiful Waterfront Loft 2 Bdrm Downtown,2 queen beds,www.airbnb.ca/rooms/43513098?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_JCBdDVlqUpIcOElu&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,393,393,2023-09-24 - 2023-09-29,4.91,117.0,2023-09-24,2023-09-29,0,0,0,0,0
Condo in Downtown Charlottetown,Downtown Luxury Award Winning Private Condo,3 beds,www.airbnb.ca/rooms/3712087?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692673881_T6Gj22crhWF3JShG&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,398,"1,991",2023-09-24 - 2023-09-29,4.97,99.0,2023-09-24,2023-09-29,0,0,0,0,0
Home in Charlottetown,Bright & Charming 2BR Downtown Home,2 beds,www.airbnb.ca/rooms/949828353733953912?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-28&source_impression_id=p3_1692673881_DYid0k5qalki15f3&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,239,"1,434",2023-09-22 - 2023-09-28,,,2023-09-22,2023-09-28,0,0,0,0,0
Apartment in Downtown Charlottetown,The Hildore 1A - 2 Bdrm Luxury Designer Downtown,2 queen beds,www.airbnb.ca/rooms/46045995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_uEDhxsTcVauSDPKB&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,412,"2,059",2023-09-01 - 2023-09-6,4.96,78.0,2023-09-01,2023-09-06,0,0,0,0,0
Condo in Downtown Charlottetown,Waterfront  1 Bedroom Cozy Condo Downtown Ch'town,1 queen bed,www.airbnb.ca/rooms/39481632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692673881_bVnXhCTJWHe1lmaY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,368,368,2023-09-02 - 2023-09-7,4.94,94.0,2023-09-02,2023-09-07,0,0,0,0,0
Room in Downtown Charlottetown,Queen Bed/Brighton/walk downtown/Maple Leaf House,Stay with Susane,www.airbnb.ca/rooms/44100458?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1032806663&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692673881_f0Xku7scJcKuYNVv&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,131,919,2023-09-01 - 2023-09-8,4.91,57.0,2023-09-01,2023-09-08,0,0,0,0,0
Condo in Downtown Charlottetown,Historic two bedroom condo downtown Charlottetown,2 beds,www.airbnb.ca/rooms/49563406?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-13&check_out=2023-10-18&source_impression_id=p3_1692673881_A8QQRCK%2BvwYdHTMQ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,365,"1,826",2023-10-13 - 2023-10-18,4.95,99.0,2023-10-13,2023-10-18,0,0,0,0,0
Apartment in Downtown Charlottetown,Downtown one-bedroom apartment with parking,1 queen bed,www.airbnb.ca/rooms/689828784249257971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-07&source_impression_id=p3_1692673881_jqXFtc9v81g7HuCV&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,186,"1,118",2023-10-01 - 2023-10-7,4.94,47.0,2023-10-01,2023-10-07,0,0,0,0,0
Home in Downtown Charlottetown,Modern d’town 2 bed home w parking & rooftop patio,2 beds,www.airbnb.ca/rooms/692772961385851552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-17&check_out=2023-10-22&source_impression_id=p3_1692673881_k60AvSLXByAWyhie&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,309,309,2023-10-17 - 2023-10-22,5.0,17.0,2023-10-17,2023-10-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Edward House Loft: 1 bed + downtown + Parking,1 queen bed,www.airbnb.ca/rooms/42934668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-20&source_impression_id=p3_1692673881_BoQOuvrVcH7TPjzJ&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,191,"1,146",2023-09-14 - 2023-09-20,4.98,40.0,2023-09-14,2023-09-20,0,0,0,0,0
Townhouse in Downtown Charlottetown,2bd 1bt Downtown Steps to Holland College,2 queen beds,www.airbnb.ca/rooms/49813086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692673881_vpu1dUBfu2k2iHK%2F&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,433,433,2023-09-01 - 2023-09-6,4.84,61.0,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Downtown Charlottetown,Downtown Modern One Bedroom In Law Suite,1 queen bed,www.airbnb.ca/rooms/24890168?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-08&source_impression_id=p3_1692673881_Ef8sAlktp7JWIDVw&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,167,"1,170",2023-11-01 - 2023-11-8,4.97,208.0,2023-11-01,2023-11-08,0,0,0,0,0
Home in Downtown Charlottetown,Wharfside - Waterfront + Downtown + Victoria Park,1 king bed,www.airbnb.ca/rooms/51121355?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692673881_uW180zgfTLufwx5I&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,504,504,2023-09-17 - 2023-09-22,4.83,84.0,2023-09-17,2023-09-22,0,0,0,0,0
Apartment in Downtown Charlottetown,Lovely one-bedroom in historic Charlottetown.,1 queen bed,www.airbnb.ca/rooms/648523555200106575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-27&check_out=2023-10-02&source_impression_id=p3_1692673881_pzeYz61yaTjeNdch&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,243,"1,214",2023-09-27 - 2023-10-02,4.93,54.0,2023-09-27,2023-10-02,0,0,0,0,0
Guest suite in Downtown Charlottetown,The Gladys (4.5 Star) - Second Floor Suite,2 beds,www.airbnb.ca/rooms/42623534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-05&check_out=2023-10-11&source_impression_id=p3_1692673881_cyAna8SzdYdNvEMY&previous_page_section_name=1000&federated_search_id=b681be55-424d-4f0c-8be0-ef7f65cc1abe,205,"1,231",2023-10-05 - 2023-10-11,4.98,112.0,2023-10-05,2023-10-11,0,0,0,0,0
